"Event ID";Window;"CAR Value";"CAR t-test"
23473;"(-10, 10)";0.29700694855679;4.9822176753271
49680;"(-10, 10)";0.23720126401405;0.98980431134841
57904;"(-10, 10)";0.013798796103358;0.10861992552996
64390;"(-10, 10)";0.087636352717134;1.2950194359567
70500;"(-10, 10)";0.14150880295238;1.4401302544916
75154;"(-10, 10)";0.30001390988337;1.1513500720866
75510;"(-10, 10)";-0.095672061375881;-0.73515379437019
75573;"(-10, 10)";0.099360423821738;0.45809000491717
76149;"(-10, 10)";0.1009166062484;1.1065819693925
77178;"(-10, 10)";-0.087820983858314;-0.27756509480453
77659;"(-10, 10)";0.2849445730505;1.9605857447302
82643;"(-10, 10)";0.29808165979222;1.1638586728181
82686;"(-10, 10)";-0.015016136595241;-0.10577396071045
83435;"(-10, 10)";0.49802101344897;2.8059564343121
85914;"(-10, 10)";0.22806946478873;0.83564124332856
