"Event ID";AR(-10);AR(-9);AR(-8);AR(-7);AR(-6);AR(-5);AR(-4);AR(-3);AR(-2);AR(-1);AR(0);AR(1);AR(2);AR(3);AR(4);AR(5);AR(6);AR(7);AR(8);AR(9);AR(10);t-value(-10);t-value(-9);t-value(-8);t-value(-7);t-value(-6);t-value(-5);t-value(-4);t-value(-3);t-value(-2);t-value(-1);t-value(0);t-value(1);t-value(2);t-value(3);t-value(4);t-value(5);t-value(6);t-value(7);t-value(8);t-value(9);t-value(10)
23473;-0.0057074338094875;-0.00020507847208495;0.017583114793159;0.015557982248154;0.045257541692566;0.0037619566382123;0.013558172961393;0.0034948313389868;0.0018861046129635;-0.029813797704717;0.02655260288618;0.21928495958131;-0.039653231020685;0.0086472679846857;0.018478872645921;-0.010954552130934;-0.012360938941669;-0.00064850719146186;0.010976478437741;-0.004015895618761;0.015326497625318;-0.43873938203072;-0.015764703562709;1.3516415916558;1.1959664789898;3.4790181607395;0.28918750278487;1.0422380048734;0.26865316237567;0.14498781763554;-2.2918333558617;2.0411401989848;16.85677852197;-3.0482060159185;0.66472904259501;1.4204999016929;-0.84209359105661;-0.95020474938706;-0.049851764194178;0.84377910062533;-0.30870819021084;1.1781718932332
49680;0.027378531879144;0.032671374193277;0.027178688933803;0.019769087414857;0.007350721154358;0.0049849750872078;-0.00844564687818;-0.023073516626001;-0.00016367234182111;0.013026082425343;0.009468410272381;0.065130530954317;0.036739140920593;0.029389502182751;-0.039850183361671;0.008150507181077;0.0071822926810951;0.0091289515004548;-0.00015402790047577;0.025210302285963;-0.013870787944419;0.52354274502922;0.62475449759433;0.51972127188959;0.37803204122063;0.14056329784537;0.095324597848401;-0.1615008857914;-0.44122059886841;-0.0031298050421637;0.24908972402337;0.18105855810484;1.2454508923836;0.70253988681675;0.56199728735348;-0.76203042877474;0.15585711176179;0.13734254424096;0.17456729779684;-0.0029453803506389;0.48208103049761;-0.26524250563162
57904;0.015439000401212;-0.018317965991647;0.02652572143299;-0.023689713667449;0.0093134531630975;0.0080603640649109;-0.0085612936377826;0.032095122261615;-0.0059611980054918;-0.013023190073197;-0.018924405755784;0.064956478541275;-0.0084342630190774;0.021821417787674;-0.02596014741239;-0.0099743406332671;-0.0029984029552595;-0.01617082146672;-0.022075633599637;0.0067483988119871;0.0029302158562988;0.55692553302863;-0.66077742786363;0.95685285084113;-0.85455055824106;0.33596086096274;0.29075862663382;-0.30882847974163;1.1577558526241;-0.21503616104817;-0.46978087212687;-0.68265331231954;2.3431517906057;-0.30424614972059;0.78715618997502;-0.93645110171849;-0.35980081802157;-0.10816031612781;-0.58332425227199;-0.79632642592959;0.24343257385761;0.10570062732365
64390;0.026018595869917;0.024623450661584;-0.017356794001946;-0.0067233255647949;-0.0064263606116521;-0.0025986688076599;-0.0094868076287217;0.011177744211042;0.023649281877916;-0.0022545504439837;-0.0040201544637987;0.024785219571381;0.011092185042061;0.025753892205095;-0.00070907411070662;0.024104547242138;-0.003195971060567;0.007162150568241;-0.021917298427653;-0.0099913176646147;-0.0060503917461425;1.7619171981083;1.6674412952306;-1.1753606539317;-0.45528755665057;-0.43517779896827;-0.17597564785183;-0.64242396475805;0.75693015333932;1.601472910834;-0.15267277377756;-0.27223526297237;1.678395899611;0.75113629067136;1.7439920978537;-0.048016806004194;1.632302394444;-0.21642353047883;0.48500373827686;-1.4841871263469;-0.67658817997175;-0.40971808494656
70500;0.019512849358218;0.0011094037346042;-0.032454577914792;-0.018367320196735;0.032374276184118;-0.019124705517413;-0.02992496787004;-0.00066816526309145;0.0065611159832193;-0.0034974227647493;-0.071331184802845;0.075286388637423;0.054428171617321;0.079588659659819;0.049894894217728;0.035907057037487;0.019842309295999;0.017031625521521;-0.019906378614347;-0.029952547708039;-0.024800677643031;0.91001522035279;0.051738947268655;-1.5135749438945;-0.85659150179841;1.50982993486;-0.89191346615306;-1.3956022378062;-0.031161033837847;0.30598890493227;-0.1631083133735;-3.3266522312923;3.5111099505617;2.538351200199;3.7117537438175;2.3269340280589;1.6745872333826;0.92538015001392;0.79429908812398;-0.92836813263931;-1.3968884708875;-1.1566221680852
75154;0.0068453859899701;0.0014655059756174;0.01915300244892;0.021257486633891;0.0070530258539817;0.04281922340776;-0.0083487984202316;0.0033383681258333;0.060215063189397;-0.0079400209459677;0.004365252356183;0.015686714039834;-0.018594340260401;0.0023903919272405;-0.0015604907873258;0.059203674737868;-0.003609715892946;0.067298780600444;0.0033004126765758;-0.0067281472297835;0.032403135456508;0.12038533639622;0.025772897265964;0.33683135562979;0.3738415456935;0.1240369631876;0.75303374005802;-0.14682486974386;0.05870970175118;1.0589630225083;-0.13963596705487;0.076768844609122;0.27587200333241;-0.32700652827963;0.042038262955703;-0.027443333166408;1.0411763938006;-0.063481717861314;1.183539738082;0.058042204033209;-0.11832353482587;0.56985279835783
75510;-0.024473204427292;0.00067462185845537;-0.037313246591814;-0.003445542039164;-0.022387290057683;0.012255601219931;0.010820385184138;-0.062063613753129;0.0088972149143043;-0.030595841016153;0.0060263031680902;0.068906079092997;0.0352508009116;0.035182908622164;-0.022872782960729;0.034424273018543;-0.058112005184677;-0.02377493166002;-0.0032983473364602;0.0021879424669986;-0.021961386805981;-0.86177433687245;0.023755442669441;-1.3139104212426;-0.12132778585609;-0.78832308622062;0.4315561799705;0.38101795351189;-2.1854444825528;0.31329740678486;-1.0773705863114;0.21220406309694;2.4263880438406;1.2412855729648;1.2388948834709;-0.80541873570215;1.2121810668891;-2.0462965886276;-0.83718607534096;-0.1161446224624;0.077043963499529;-0.77332576564506
75573;0.021949393494221;-0.011322569780453;-0.0028716437166263;0.032438882679499;-0.026048995406122;-0.00027751970552724;-0.0076505334636136;0.035002225189199;0.032784261014206;0.013498133345597;-0.0028124550696097;0.048786285564552;-0.0060322415786372;-0.0058111304415081;-0.033267440218841;-0.0092341088890801;0.0027376245618497;0.011423642481846;-0.0028548136828601;-0.0065678433213231;0.01549127076497;0.46373465534028;-0.23921699686541;-0.06067050142139;0.68535078579561;-0.55034877887624;-0.0058632829661875;-0.16163624292636;0.73950766970075;0.69264774837681;0.2851811015373;-0.059419996398027;1.0307296795042;-0.12744586633499;-0.12277435242754;-0.70285609158173;-0.19509314934737;0.057839018785404;0.24135240504227;-0.060314925769152;-0.13876176395237;0.32729100741976
76149;0.014154435780674;0.0062903145168161;-0.0053396499291846;0.032097231669446;-0.010028699717308;-0.0063281250408793;0.022649324908277;-0.013589183664116;0.005511949454903;0.0053024507548497;-0.040491138238253;0.053711158304431;0.0038197595133939;-0.039113907556053;0.027717619022184;0.027207529319393;0.0083567022108483;-0.0065415489740299;0.013430333755354;-0.0058491965903119;0.0079492467479657;0.71125144574506;0.31608432604465;-0.26831403178151;1.6128655909039;-0.50393581795874;-0.31798428096486;1.1381142516579;-0.68284788439214;0.27697197397485;0.26644479679848;-2.0346540871055;2.6989517341856;0.19194049967073;-1.9654491163799;1.3927928253457;1.3671611403961;0.41991900074478;-0.32870869862178;0.6748657769444;-0.29391842923097;0.39944462143765
77178;0.020425797319828;-0.025326529311506;-0.016303665124351;0.023890927055815;-0.025318932660969;0.0020854369791961;-0.049205506232339;0.0058717248670683;-0.018051173466725;-0.041849617612219;0.013241978183275;0.02183243821632;-0.011288112442094;-0.020987009368242;0.019052343540279;-0.0052936661942019;0.010332790168446;0.01145600435667;0.067244957386874;-0.051681490177641;-0.017949679341798;0.29583885836427;-0.36681904752731;-0.23613558883498;0.34602637413794;-0.36670902076131;0.030204612601199;-0.71267234081876;0.085043651129171;-0.26144578186661;-0.60613267151936;0.19179137278631;0.31621206732306;-0.16349238395286;-0.30396722315236;0.27594631797549;-0.076671286752366;0.14965588854557;0.16592406148099;0.97394834153062;-0.74853347525758;-0.25997578265048
77659;0.0025836793152222;0.0083321599675838;0.0013509011683659;-0.0085032646546868;0.046882017443755;-0.0017962274938767;0.022010158054597;0.013121017272375;-0.033421363108075;-0.016954530383088;0.018417393915745;0.089891320516804;0.037075527296181;0.011255572832403;0.025158001254593;0.019261418814196;-0.0029456691294687;0.0017062994115426;0.064045767896292;0.0025893429442734;-0.015114950284235;0.08146549604265;0.2627197349403;0.042595005168456;-0.26811480395214;1.4782278837911;-0.056636503970125;0.69399806443884;0.41371627445424;-1.0538025783539;-0.53459003975099;0.5807153087147;2.8343459548889;1.1690213272333;0.35489730425659;0.79325210353002;0.60732809561111;-0.092879327320484;0.053800998885438;2.0194148013509;0.081644074842015;-0.47658659312342
82643;0.017132670633704;0.033315954315174;0.002322241114103;0.031059681190045;-0.0031017212221899;0.0044388037518226;0.038882223750974;0.016585952415492;-0.014162908598566;0.022929237623262;-0.0088150285376207;0.06580739692245;-0.015054224268014;0.019873997019819;0.052888822129052;0.023716379388998;-0.02026889317382;0.018762513479565;0.015393882166801;0.0045882673629276;-0.0082135876717633;0.30654885946172;0.59611067156711;0.041551044792921;0.55573996883605;-0.055498008650211;0.079421956832508;0.69570597597017;0.29676662236495;-0.25341195020758;0.41026479712452;-0.15772421020073;1.1774686446745;-0.26935994849292;0.35559844986374;0.94632112229134;0.42434884833171;-0.36266418807834;0.33571106517865;0.27543732800405;0.082096256741428;-0.14696283998565
82686;0.04569351609954;-0.039866241290934;0.0064010855713935;0.016675769433812;0.00072740856155458;-0.043011402202134;0.0060847771022372;-0.017291060983022;-0.056376930905866;-0.046386152010154;-0.001486541754138;0.016475197979513;0.076577099965961;0.03361741518828;0.047723667536552;-0.029437586096761;0.060074970481822;-0.01518061530309;-0.0017331031509988;-0.071789038839652;-0.0025083719791568;1.4749754170532;-1.2868724251017;0.20662546168895;0.53828971974356;0.023480568755308;-1.3883974427123;0.19641510240745;-0.55815117902431;-1.8198334090533;-1.4973335332222;-0.047985200766783;0.53181532272388;2.4718898784887;1.0851618614677;1.540508204155;-0.95023801047662;1.9392052134455;-0.49002651358721;-0.055944141776525;-2.3173324475992;-0.080969628120138
83435;0.039974849161113;-0.00071060878438033;-0.020878051688154;0.015243290890324;0.023448681188026;0.035050166339898;-0.0065714402417532;0.024621532652779;-0.020448663027964;0.00508630756241;-0.037243772975698;0.060746090811172;0.055676048334117;-0.0061195275939636;0.1197257523141;0.25464681490309;-0.077723637966735;0.054919801700658;0.024660665749665;-0.0076954769884101;-0.038387808891328;1.0321189149483;-0.018347355471721;-0.53905474334033;0.3935696865435;0.60542635913928;0.9049675085875;-0.16966937747858;0.63570845417152;-0.52796826853563;0.13132442904912;-0.96160469292409;1.5684159077796;1.43751143034;-0.15800135117013;3.0912240111717;6.5747788874334;-2.0067627162456;1.4179857417849;0.63671883971003;-0.19869111518785;-0.99114279332174
85914;0.028600970147493;-0.032280446175991;0.0097184439645117;0.0085625028275471;-0.019405596183967;0.0097047467368064;-0.00033302307691672;0.034770158469746;0.0046219370584069;-0.020226442840061;0.040819890459744;0.045176432441042;0.036288569932595;-0.0094197556242079;-0.038402148491923;0.0060556900097262;0.002827193576722;0.0056512243146351;0.044124990445356;0.061456407401962;0.0097577193955081;0.4802231976267;-0.54200326085127;0.1631770605167;0.14376828710101;-0.32582871851058;0.16294707788138;-0.0055916077690969;0.58380665397786;0.077604409290013;-0.33961110434987;0.68538438459466;0.75853269075579;0.60930146776362;-0.15816194847208;-0.64478940572382;0.10167776845715;0.047469856187452;0.094886606883777;0.74087850508714;1.0318808182039;0.16383651272982
